Order_ID,Date,Customer_ID,Gender,Age,Region,Category,Product_Name,Quantity,Unit_Price,Total_Sales,Payment_Method,Customer_Rating,Returned
ORD10474,2025-01-01,CUST302,Male,48.0,North,Clothing,Jacket,5,2941.83,14709.15,Credit Card,3.0,No
ORD10731,2025-01-01,CUST301,Female,29.0,South,Beauty,Skincare Set,2,1296.23,2592.46,Net Banking,3.0,No
ORD10843,2025-01-01,CUST301,Male,37.0,North,Electronics,Smart Watch,3,4514.44,13543.32,UPI,4.0,Yes
ORD10557,2025-01-01,CUST123,Male,20.0,South,Clothing,Jacket,4,3080.04,12320.16,UPI,4.0,No
ORD10054,2025-01-02,CUST201,Male,30.0,East,Clothing,T-Shirt,1,768.77,768.77,Credit Card,4.0,No
ORD10191,2025-01-02,CUST109,Female,46.0,North,Electronics,Tablet,1,17281.69,17281.69,Net Banking,4.0,No
ORD10152,2025-01-02,CUST252,Female,30.0,East,Electronics,Wireless Headphones,2,2575.57,5151.14,UPI,5.0,Yes
ORD10658,2025-01-03,CUST294,Male,37.0,West,Books,Novel,4,388.48,1553.92,UPI,5.0,No
ORD10714,2025-01-04,CUST152,Female,56.0,North,Home & Kitchen,Blender,1,2233.93,2233.93,Debit Card,,Yes
ORD10971,2025-01-04,CUST130,Male,53.0,South,Clothing,Jacket,3,3026.27,9078.81,UPI,5.0,No
ORD10761,2025-01-05,CUST195,Female,22.0,East,Books,Python Guide,1,583.04,583.04,UPI,4.0,No
ORD10305,2025-01-05,CUST128,Male,53.0,South,Electronics,Smartphone,3,25568.17,76704.51,UPI,2.0,No
ORD10530,2025-01-05,CUST124,Male,59.0,East,Books,Novel,1,418.52,418.52,Net Banking,1.0,Yes
ORD10621,2025-01-05,CUST185,Male,63.0,North,Home & Kitchen,Cookware Set,2,4505.22,9010.44,Cash on Delivery,4.0,Yes
ORD10100,2025-01-05,CUST250,Female,52.0,South,Electronics,Tablet,1,17524.23,17524.23,UPI,5.0,No
ORD10710,2025-01-06,CUST272,Male,,South,Books,Self-Help Book,2,449.19,898.38,UPI,5.0,No
ORD10657,2025-01-07,CUST160,Male,38.0,South,Home & Kitchen,Blender,2,2166.04,4332.08,Credit Card,5.0,No
ORD10934,2025-01-07,CUST341,Male,32.0,South,Electronics,Smartphone,2,25928.88,51857.76,UPI,4.0,No
ORD10644,2025-01-08,CUST202,Female,40.0,East,Clothing,Jacket,1,2899.27,2899.27,Debit Card,5.0,No
ORD10511,2025-01-08,CUST307,Male,64.0,North,Books,Data Science Handbook,5,915.11,4575.55,Debit Card,4.0,No
ORD10913,2025-01-08,CUST138,Male,53.0,West,Clothing,Dress,5,1989.15,9945.75,Net Banking,4.0,No
ORD10432,2025-01-09,CUST136,Male,64.0,North,Books,Python Guide,3,572.47,1717.41,Credit Card,5.0,No
ORD10197,2025-01-09,CUST164,Male,34.0,Central,Clothing,Sneakers,4,3645.97,14583.88,Debit Card,3.0,No
ORD10527,2025-01-10,CUST262,Male,54.0,South,Books,Data Science Handbook,1,858.53,858.53,Cash on Delivery,4.0,No
ORD10737,2025-01-10,CUST290,Female,43.0,South,Home & Kitchen,Air Fryer,3,6601.53,19804.59,UPI,3.0,No
ORD10815,2025-01-11,CUST183,Female,30.0,Central,Electronics,Laptop,1,54615.97,54615.97,UPI,3.0,No
ORD10371,2025-01-12,CUST269,Female,26.0,Central,Clothing,Dress,1,2010.92,2010.92,Credit Card,4.0,No
ORD10506,2025-01-12,CUST283,Female,59.0,South,Books,Python Guide,1,583.31,583.31,UPI,,No
ORD10740,2025-01-13,CUST234,Female,49.0,Central,Electronics,Smartphone,2,25549.9,51099.8,Credit Card,5.0,No
ORD10041,2025-01-14,CUST270,Male,52.0,South,Clothing,Sneakers,2,3410.93,6821.86,UPI,4.0,No
ORD10106,2025-01-15,CUST113,Female,63.0,North,Beauty,Perfume,1,2487.32,2487.32,Cash on Delivery,3.0,No
ORD10663,2025-01-15,CUST172,Male,45.0,North,Electronics,Tablet,2,17282.3,34564.6,UPI,4.0,No
ORD10785,2025-01-15,CUST120,Male,20.0,South,Home & Kitchen,Cookware Set,1,4710.59,4710.59,UPI,4.0,No
ORD10075,2025-01-15,CUST322,Male,47.0,South,Home & Kitchen,Cookware Set,1,4596.17,4596.17,Credit Card,5.0,No
ORD10803,2025-01-15,CUST265,Female,22.0,East,Books,Data Science Handbook,2,935.32,1870.64,Debit Card,4.0,No
ORD10356,2025-01-16,CUST315,Male,24.0,East,Electronics,Smart Watch,2,4332.09,8664.18,Debit Card,4.0,No
ORD10982,2025-01-17,CUST341,Male,59.0,South,Books,Data Science Handbook,1,905.62,905.62,UPI,3.0,No
ORD10246,2025-01-17,CUST247,Male,42.0,West,Books,Self-Help Book,2,471.0,942.0,Credit Card,5.0,No
ORD10894,2025-01-18,CUST158,Female,36.0,South,Home & Kitchen,Blender,2,2185.43,4370.86,Net Banking,1.0,No
ORD10269,2025-01-18,CUST314,Female,58.0,South,Clothing,T-Shirt,1,762.05,762.05,Credit Card,3.0,Yes
ORD10893,2025-01-19,CUST344,Male,,West,Clothing,T-Shirt,4,806.76,3227.04,Debit Card,3.0,Yes
ORD10402,2025-01-19,CUST293,Female,28.0,East,Beauty,Perfume,1,2434.06,2434.06,UPI,4.0,No
